epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.92,1.74623,3.93841,1.75726,0.00435,0.75926,0.11342,0.06733,1.63074,4.02677,1.79547,7.14e-06,7.14e-06,7.14e-06
2,37.9121,1.63447,3.92638,1.71463,0.00496,0.87037,0.15012,0.07154,1.5878,4.02422,1.75253,2.03597e-05,2.03597e-05,2.03597e-05
3,53.7503,1.61328,3.87399,1.70463,0.00502,0.87037,0.16005,0.07717,1.56291,4.00664,1.73291,3.21657e-05,3.21657e-05,3.21657e-05
4,69.556,1.6229,3.80399,1.64493,0.00513,0.87037,0.20274,0.13714,1.41708,3.94937,1.56883,4.2558e-05,4.2558e-05,4.2558e-05
5,85.6183,1.49639,3.84816,1.6005,0.00532,0.87037,0.28405,0.16951,1.44333,3.89125,1.59565,5.15365e-05,5.15365e-05,5.15365e-05
6,101.887,1.5771,3.81864,1.55175,0.00555,0.87037,0.36702,0.23744,1.42353,3.87523,1.50927,5.91013e-05,5.91013e-05,5.91013e-05
7,117.799,1.43687,3.77952,1.53409,0.00581,0.87037,0.455,0.31288,1.36062,3.86266,1.45734,6.52525e-05,6.52525e-05,6.52525e-05
8,133.274,1.28749,3.64307,1.44428,0.00609,0.87037,0.51631,0.30885,1.38138,3.86127,1.46555,6.99899e-05,6.99899e-05,6.99899e-05
9,148.937,1.315,3.5721,1.44256,0.00625,0.87037,0.53598,0.33269,1.35461,3.856,1.457,7.33135e-05,7.33135e-05,7.33135e-05
10,170.987,1.46694,3.54703,1.52819,0.0065,0.87037,0.56362,0.35643,1.33287,3.84697,1.43093,7.52235e-05,7.52235e-05,7.52235e-05
11,193.618,1.43805,3.92659,1.59518,0.00671,0.87037,0.56372,0.36594,1.328,3.84681,1.43053,7.57197e-05,7.57197e-05,7.57197e-05
12,210.289,1.36087,3.84387,1.58303,0.00694,0.87037,0.56345,0.38276,1.30749,3.83164,1.42578,7.48022e-05,7.48022e-05,7.48022e-05
13,226.255,1.3231,3.85583,1.58416,0.00716,0.87037,0.53649,0.3761,1.2974,3.81068,1.41669,7.2471e-05,7.2471e-05,7.2471e-05
14,242.497,1.40568,3.76978,1.60262,0.0073,0.87037,0.54042,0.383,1.2326,3.81106,1.38815,6.87261e-05,6.87261e-05,6.87261e-05
15,258.644,1.23256,3.60163,1.46879,0.0073,0.87037,0.54288,0.39508,1.25112,3.81021,1.39475,6.35674e-05,6.35674e-05,6.35674e-05
16,274.432,1.22975,3.58814,1.55256,0.00789,0.90741,0.46896,0.33868,1.26438,3.78667,1.38394,5.6995e-05,5.6995e-05,5.6995e-05
17,290.222,1.21278,3.54052,1.52256,0.00802,0.90741,0.47039,0.33895,1.25487,3.77135,1.37881,4.9009e-05,4.9009e-05,4.9009e-05
18,305.997,1.31563,3.60355,1.49004,0.00806,0.90741,0.47087,0.34008,1.25454,3.76584,1.38592,3.96092e-05,3.96092e-05,3.96092e-05
19,321.882,1.24869,3.44662,1.52262,0.00801,0.90741,0.49214,0.35546,1.25261,3.75348,1.36827,2.87956e-05,2.87956e-05,2.87956e-05
20,337.482,1.36601,3.57807,1.57484,0.00794,0.90741,0.54732,0.39854,1.23482,3.7359,1.3605,1.65684e-05,1.65684e-05,1.65684e-05
